type	latitude	longitude	altitude (m)	name	desc
T	-23.449799006	-67.132216425	4262.3	
T	-24.029179083	-67.323277206	5502.2		
T	-24.405890404	-68.246709700	5316.0		
T	-24.546729540	-68.386309547	4722.6		
T	-24.737107643	-68.563453521	5307.4		
T	-24.864724302	-68.501434870	4723.1		
T	-24.982250812	-68.423129564	4930.5		
T	-25.099758459	-68.339008085	5010.6		
T	-25.140641833	-68.447855888	4447.3		
T	-25.275074331	-68.555326679	5176.6		
T	-25.448418441	-68.552018847	4853.9		
T	-25.636884868	-68.509713026	4850.8		
T	-26.177679943	-68.394494763	5585.0		
T	-26.281995810	-68.552964540	5165.8		
T	-26.516650303	-68.571857055	5865.3		
T	-26.929844035	-68.260838090	5488.4		
T	-27.045302187	-68.326021736	5521.9		
T	-27.153299711	-68.541708025	5759.6		
T	-27.125920276	-68.758087862	5544.5		
T	-27.245670634	-68.883983495	4716.1		
T	-27.339432141	-68.855062714	4892.7		
T	-27.493667228	-68.980855131	4782.3		
T	-27.731315095	-69.050358720	4674.8		
T	-27.954815154	-69.198552401	4368.1		
T	-28.188582205	-69.386692946	4669.5		
T	-28.184408683	-69.465445568	4719.7		
T	-28.436960111	-69.653907597	5235.9		
T	-28.706047099	-69.749285690	4409.0		
T	-29.028107940	-69.792854340	5194.5		
T	-29.127259703	-69.792422169	5895.6		
T	-29.182040917	-69.911150128	4490.8		
T	-29.388461362	-69.997387320	4788.1		
T	-29.548333141	-69.942103301	4646.4		
T	-29.701759946	-69.901666028	4486.1		
T	-29.840395941	-69.906793553	4711.9		
T	-30.064477519	-69.969937257	4549.1		
T	-30.153267805	-69.821117012	5133.2		
T	-30.416164909	-69.963867016	5102.3		
T	-30.347058727	-70.158563516	4834.2		
T	-30.456049729	-70.147281888	4450.1		
T	-30.638945969	-70.238830696	4398.1		
T	-30.821880920	-70.302140498	3791.5		
T	-30.999861014	-70.325174006	3222.7		
T	-31.098813310	-70.325093038	3747.3		
T	-31.168144034	-70.428975020	3378.6		
T	-31.182977275	-70.504109422	3384.2		
T	-31.386309686	-70.544959925	4096.2		
T	-31.634585401	-70.568747186	3427.4		
T	-31.739062856	-70.452410444	4093.6		
T	-31.872992020	-70.411773763	3883.8		
T	-31.912285434	-70.289358802	3916.1		
T	-31.976782437	-70.219202695	4370.0		
T	-32.056708568	-70.265671894	3859.0		
T	-32.111616063	-70.341642582	3799.5		
T	-32.251774069	-70.259133748	4110.6		
T	-32.367104639	-70.205747481	3566.9		
T	-32.469768811	-70.174437508	3559.1		
T	-32.589381770	-70.097969332	4657.6		
T	-32.659471238	-69.998119810	5802.5		
T	-32.758881206	-70.009708310	4492.4		
T	-32.903677954	-69.992263374	4346.8		
T	-33.013126509	-70.027618258	4446.6		
T	-33.170609396	-70.073802590	4997.1		
T	-33.288680193	-70.001925401	4480.5		
T	-33.307927420	-69.877149704	3867.3		
T	-33.411667044	-69.805335849	5622.0		
T	-33.520729855	-69.822483199	5109.4		
T	-33.773587026	-69.851927643	4488.7		
T	-34.094888125	-69.844802220	4246.9		
T	-34.199155400	-69.855514120	3663.6		
T	-34.308517863	-69.974610687	3674.5		
T	-34.443172059	-70.069547026	3818.2		
T	-34.666951598	-70.213289265	3866.9		
T	-34.859950619	-70.243380661	3227.8		
T	-35.106466695	-70.418576656	2132.5		
T	-35.226503090	-70.432540664	2558.0		
T	-35.381736979	-70.414395631	2946.8		
T	-35.536565334	-70.384009662	2768.5		
T	-35.845635464	-70.378078834	2794.9		
T	-35.865536219	-70.378090874	3032.9		
T	-36.093889116	-70.402807970	2856.6		
T	-36.207547180	-70.581277978	2232.2		
T	-36.435249064	-70.748629810	2096.2		
T	-36.528144493	-71.021227330	1797.6		
T	-36.706687515	-71.053734147	1994.5		
T	-36.949511957	-71.118146187	1709.0		
T	-37.242498983	-71.171887552	1753.5		
T	-37.656228611	-71.190499430	2250.8		
T	-37.926581760	-71.118712440	2194.7		
T	-38.182548228	-70.995306577	2168.0		
T	-38.402072940	-70.975475857	1868.1		
T	-38.536391770	-70.855397847	2188.2		
T	-38.746122600	-70.915124099	1873.4		
T	-38.844279666	-71.197285553	1560.5		
T	-38.932004016	-71.428575021	1600.0		
T	-39.295374856	-71.402357955	1086.8		
T	-39.552794537	-71.496571541	1245.0		
T	-39.636031231	-71.614154769	1585.7		
T	-39.729878264	-71.654607705	1339.8		
T	-39.869323818	-71.644466703	1613.3		
T	-40.097390615	-71.753102569	1349.4		
T	-40.211730512	-71.762005521	1591.9		
T	-40.371104512	-71.726109335	1257.8		
T	-40.560178480	-71.828586652	1178.4		
T	-40.718830990	-71.944101471	1284.0		
T	-40.978354824	-71.847676463	1316.8		
T	-41.144010996	-71.851781081	1625.9		
